Company Name,Skill,Title
Spectrum,"mapping, test management, content activation, solman, trex, sld, rslaf, occ...",1
Spot In Job Consultancy,"Backend, Usage, PDF, MIN, Programming, Manager Technology, PHP, Consultancy...",1
Secureworks,"Unix, Application support, Linux, RDBMS, EMC, Informatica, Oracle, Teradata...",1
Shuchita Technologies (P) Ltd.,"Computer science, Sql Server 2008, server, jQuery, .NET framework, .Net, HR...",1
SENECAGLOBAL IT SERVICES PRIVATE LIMITED,"senior ui developer, redux, ui developer, css, ui development, js, react...",1
"SILICON TECH SOLUTIONS, INC","Badis, MM, Data Dictionary, GTS, Function Modules, Alv, RFC, SD, SAP ABAP...",1
Quality Thought Infosystems (India) Private Limited,"Training, Maven, data science, Linux, devops, Artificial Intelligence...",1
SKS Enterpprises,"c#, continuous integration, c++, c, appium, automation testing...",1
SONATA SOFTWARE LIMITED,"Networking, SOA, VPN, Billing, DNS, Application development, Visual Studio,...",1
SONATA SOFTWARE LIMITED,"sql azure, microsoft azure, networking, vs",1
SRS Business Solutions,"C#, Angularjs, Microsoft Dynamics CRM certifications, MS Dynamics CRM...",1
Secureworks,"Interpersonal skills, Architecture, Enterprise applications, Analytical...",1
Rope Media Pvt. Ltd.,"MVVM, Agile development, Swift, ios development, Information technology",1
SRS Business Solutions India Pvt. Ltd.,"C#, Angularjs, MS Dynamics CRM, C#.Net, Javascript, Entity Framework...",1
Secureworks,"Analytical skills, tableau, Excel, SSAS, data governance, EMC, Informatica,...",1
SYMPHONI HR,"Network Engineering, Networking, GM, Hardware, Network Administration...",1
Sahasya Global Solutions,"Computer science, Automation, Db2, Postgresql, MySQL, Debugging...",1
Sahasya Global Solutions,"VMware, server, Networking, technical, Technical writing, administration...",1
Sahasya Global Solutions,"code, technical, software, Schema, developing, tools, cloud, database, java...",1
Sahasya Global Solutions,"technical, software, System programming, testing, it, Troubleshooting...",1
Sai Sectretarial Services,"Computer science, Hibernate, MS SQL, jQuery, UML, Javascript, Life sciences...",1
SAP Labs India Pvt. Ltd.,"oracle pl, sql queries, java, customer service, Informatica, etl, unix...",1
S2TECH.COM INDIA PVT LTD,"Design, information technology engineering, Coding, Software Engineering...",1
Siemens Limited,"metadata, Web services, Cloud Applications, SFDC, Salesforce.com...",1
S-Square Data Systems Private Limited,"Unix, TIBCO Administrator, TIBCO BW, Oracle Fusion Middleware, XML...",1
